ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
;;;"5";"A vizsgajegyzőkönyv típusának megfelelő elnevezésű blokk - amely lehet Ágazatfüggetlen SZEV, Kategóriás SZEV, Kategóriás szóbeli - ellenőrzése
";"A megnyitott oldalon megjelenik a vizsgajegyzőkönyv típusának megfelelő elnevezés blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
- Ágazat
- Vizsga típusa
- Behívás típusa
- Vezénylés típusa
- Automatikusan véglegesíthető
- ""Véglegesítés"" gomb.

Az adatok csak olvashatóak, nem szerkeszthetőek.";;;
;;;"6";"A vizsgajegyzőkönyv véglegesítése a ""Véglegesítés' gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A jegyzőkönyvnél automatikus véglegesítés van beállítva 90%-tól. A manuális véglegesítés után ez a jegyzőkönyv később már nem kerülhet automatikusan véglegesítésre. Biztosan szeretné a ""E-A/22/0017/010"" jegyzőkönyvet véglegesíteni?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva véglegesítésre kerül a vizsgajegyzőkönyv és a ""Véglegesítés"" gomb helyett megjelenik a ""Véglegesítés visszavonása"" gomb.
  ";;;
;;;"7";"A vizsgajegyzőkönyv véglegesítésének visszavonása a ""Véglegesítés visszavonása"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja aműveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A vizsgajegyzőkönyvhöz tartozik vizsgabiztos, a véglegesítés visszavonásával leszedésre kerüljenek?""

A ""Nem"" gombra kattintva visszavonásra kerül a vizsgajegyzőkönyv véglegesítése a ""Véglegesítés visszavonása"" gomb helyett megjelenik a ""Véglegesítés"" gomb. A vizsgajegyzőkönyv Vizsgabiztosok fülén továbbra is a korábbi vizsgabiztosok jelennek meg.
Az ""Igen"" gombra kattintva visszavonásra kerül a vizsgajegyzőkönyv véglegesítése a ""Véglegesítés visszavonása"" gomb helyett megjelenik a ""Véglegesítés"" gomb, illetve eltűnik a Vizsgabiztosok fül.
";;;
;;;"8";"További adatok ellenőrzése";"A megnyitott oldalon megjelenik a További adatok blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben (a mezők csak akkor szerkeszthetők amennyiben a vizsgajegyzőkönyv típusa Kategóriás szóbeli): 
- Speciális vizsga*
- Gépszám*
- ""Elérhető gépek módosítása"" gomb
- Nyelv* (csak tolmács választása esetén szerkeszthető)
- Segédlet szükséges (csak tolmács választása esetén szerkeszthető)

Az adatok csak olvashatóak, nem szerkeszthetőek, az ""Elérhető gombok módosítása"" gombra kattintva módosíthatóak az elérhető gépek.
";;;
;;;"9";"Időpontfoglalási adatok ellenőrzése
";"A megnyitott oldalon megjelenik az Időpontfoglalási adatok blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
Ágazatfüggetlen SZEV, vagy Kategóriás SZEV vizsgajegyzőkönyv típus esetén az alábbi adatok adhatók meg:
- Jelentkezési időszak kezedete* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Jelentkezési időszak vége* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Első jelentkezhető időpont* (óraválasztóval, vagy manuális bevitellel)
- Publikálva

A Publikálva mező értéke amennyiben a vizsgajegyzőkönyv még nem került publikálásra a következő:
- Még nem került publikálásra 
Illetve ebben az esetben megjelenik a ""Publikálás"" gomb is.
Publikált vizsgajegyzőkönyv esetén megjelenik publikálás dátuma év.hónap.nap óra:perc pontossággal. Illetve ebben az esetben megjelenik a ""Jelentkezés szüneteltetése"" gomb a ""Publikálás"" gomb helyén.
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"10";"Vizsgajegyzőkönyv publikálása a ""Publikálás"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A publikálással a képző szervek részére elérhetővé válik a vizsgajegyzőkönyv. Biztosan publikálásra kerüljön a jegyzőkönyv?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva megtörténik a vizsgajegyzőkönyv publikálása. Innentől képzőszervi oldalon jelentkezhetővé válik a vizsgajegyzőkönyv. Továbbá megjelenik a ""Jelentkezés szüneteltetése"" gomb. 
";;;
;;;"11";"Jelentkeztetés szüneteltetése a ""Jelentkezés szüneteltetése"" gombra kattinva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja a műveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva szüneteltetésre kerül a vizsgajegyzőkönyvre történő jelentkezés lehetősége. Innentől képzőszervi oldalon nem lehetséges a vizsgajegyzőkönyvre jelentkezni. Továbbá megjelenik a ""Jelentkezés engedélyezése"" gomb. 
";;;
;;;"12";"Jelentkezés újra engedélyezése a ""Jelentkezés engedélyezése"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja a műveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva megtörténik a vizsgajegyzőkönyv jelentkezhetőségének újra engedélyezése. Innentől képzőszervi oldalon újra jelentkezhetővé válik a vizsgajegyzőkönyv. Továbbá megjelenik a ""Jelentkezés szüneteltetése"" gomb. 
";;;
;;;"13";"Kategóriák ellenőrzése
";"A megnyitott oldalon megjelenik a Kategóriák blokk amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
- Ágazat
- Kód
- Megnevezés";;;
;;;"14";"További kategóriák hozzáadása a ""Kategória hozzáadása"" gomb megnyomásával. 
";"Megjelenik a Kategóriák hozzárendelése ablak, amelyben megjelenik egy szűrő blokk és a szűrésnek megfelelő találati lista.

Az Ágazat lenyíló lista az alábbi értékeket tartalmazza:
- Összes
-Kategóriás
-Légügyi
-PÁV
-Szaktanfolyami
-Utánképzés
-Vasúti

A Szűrés gomb megnyomásával az adott kategóriába tartozó képzések listája megjelenik.
";;;
;;;"15";"A találati listában az adott képzés melletti + ikon megnyomásával a képzés hozzáadása
";"A + gomb megnyomásával a képezhető képzés eltűnik a listából. Az ablak bezárását követően látható a Kategóriák kiválasztása blokkbana található listában.
";;;
;;;"16";"Kategória eltávolítása a kiválasztott kategória sorának jobb szélén található ""Törlés"" ikonra kattintva.
";"A gombra kattintva a kiválasztott kategória eltűnik a listából és a Kategória hozzáadása ablakban újra hozzáadhatóvá válik.
";;;
;;;"17";"Kategóriák visszaállítása. a ""Vizsgahely által biztosított kategórik visszaállítása"" gombra kattintva.
";"A gombra kattintva figyelmeztető ablak jelenik meg az alábbi üzenettel:
""Biztosan szeretné az összes kategóriát visszaállítani?""

A ""Mégsem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése. Az ""Igen"" gombra kattintva a lista tartalma visszaáll a módosításokat megelőző kategória listára.
";;;
;;;"18";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a Mentés gomb megnyomása.
";"A mentés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer az Elméleti vizsgajegyzőkönyv szerkesztése (Ugyintezo/ElmeletiVizsgajegyzokonyv/Edit/400229#!EditTabAlapadatok) oldalra navigál. A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. 
Az űrlapon az alábbi fülek (tab) aktív állapotúak, kiválaszthatók:
- Alapadatok
- Vizsgázók
- Vizsgabiztos (amennyiben van vezényelt vizsgabizots és jelentkezett már vizsgázó a jegyzőkönyvre)
- Vezénylési csoport- Vizsgaösszesítő
- Módosítás

Az oldal alján megjelenik :
- a Megszüntetés gomb
- a Mentés gomb.
";;;
;;;"19";"Vizsgázók fül adatainak ellenőrzése a Vizsgázók fülre kattintva.";"Az oldalon a felső blokkban megjelenik a szűrő, alatta pedig a szűrési feltételeknek megfelelő találati lista. 
Az alábbi mezők biztosítják a szűrési feltételek megadását:
- Név
- Tanuló azonosító

A szűrést vezérlő navigációs elemek:
-Szűrő feltételek törlése
-Szűrés
";;;
;;;"20";"Szűrőfeltételek megadása (minden mező), majd a szűrőfeltételek törlése gombra kattintás
";"A kitöltött adatokat az oldal újratöltése nélkül törli minden mezőből, és a szűrési űrlap alapállapotra áll vissza. 
";;;
;;;"21";"Szűrés gomb megnyomása szűrési szűrő feltételek megadása nélkül.
";"A rendszer a találati listában megjeleníti az összes, a vizsgajegyzőkönyvre jelentkezett vizsgáző. Az vizsgázók az alábbi adatokkal rendelkeznek:
- Képzés
- Vizsgák
";;;
;;;"22";"Vezénylési csoport fül adatainak ellenőrzése a Vezénylési csoport fülre kattintva.
";"Amennyiben a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz az alábbi üzenet jelenik meg a blokkban:
""Ez a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz.""";;;
;;;"23";"Vizsgabiztos fül adatainak ellenőrzése a Vizsgabiztos fülre kattintva.
";"Az oldalon megjelennek a Vizsgajegyzőkönyvhöz vezényelt vizsgabiztosok információi az alábbi adatokkal:
- Név
- Vezényelve
- Visszavonva
- Típus";;;
;;;"24";"Vizsgaösszesítő fül adatainak ellenőrzése a Vizsgaösszesítő fülre kattintva.";"Az oldalon megjelennek a vizsgajegyzőkönyvben megvalósuló vizsgák információi az alábbi, üzenettel és adatokkal:
""A 0 Ft-os vizsgák a díjmentes vizsgákat jelölik.""
- Kategória
- Képzés
- Vizsga
- Vizsgafajta
- Segédlet szükséges
- Vizsgaszám
- Vizsgadíj
- Vizsgaárak

Az oldal alján megjelenik az ""Excel export"" gomb.
";;;
;;;"25";"A Vizsgaösszesítő fül adatainak exportálása az ""Excel export"" gombra kattintva.";"A rendszer az Ugyintezo/ElmeletiVizsgajegyzokonyv/Edit/400183#!EditTabVizsgaosszesito oldalon maradva generál egy excel fájlt, amelyben hiánytalanul megtalálhatóak a felületen található adatok. Ez a fájl a számítógép letöltött anyagai között megtalálható.
";;;
;;;"26";"Módosítás fül adatainak ellenőrzése a Módosítás fülre kattintva.
";"Az oldalon megjelennek a vizsgajegyzőkönyvben eszközölt módosítások listája az alábbi adatokkal:
- Dátum
- Típus
- Módosító

Az adott módosítás részletei megtekinthetőek a sor jobb szélén található ""Részletek"" ikonra kattintva
";;;
"125458";"Test Case";"Új elméleti vizsgajegyzőkönyv";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"116050";"Shared Steps";;"1";"Login (KAV ügyintéző)";;;;
;;;"1_1";"A https://tesztkatvizs.pallasz.hu/Ugyintezo/ oldal megnyitása.
";"A bejelentkezési oldal megjelenik (Központi bejelentkezés). 
Az oldalon a bejelentkezési űrlapon megadható a felhasználónév és a jelszó. 

";;;
;;;"1_2";"Felhasználónév és jelszó megadása (KAV ügyintézőt a KAV vezető ügyintéző hozhat létre), majd a Bejelentkezés gomb megnyomása. 
";"A felhasználónév és jelszó megadását követően a Bejelentkezés gomb aktív lesz, kattintható. 
";;;
;;;"1_3";"Bejelentkezési folyamatot követően megjelenő oldal ellenőrzése.
";"Helyes adatok megadása esetén a rendszer a felhasználót belépteti, amennyiben a felhasználó több kirendeltséggel rendelkezik, akkor A Válasszon kirendeltség olvasható az oldalon, és felsorolásra kerül az összes, érvényes jogviszonnyal érintett kirendeltség.  A kirendeltségek azonosítószáma és neve látható a kijelzett listán. A kirendeltségek kattintással kiválaszthatók.";;;
;;;"1_4";"Megfelelő kirendeltség kiválasztása kattintással. 
";"A rendszer az ügyintézői felületre navigál, ahol a beállított jogosultságoknak megfelelő funkciók érhetők el az oldalon. 
";;;
;;;"2";"Bejelentkezést követően a Vizsgaszervezés/Új elméleti vizsgajegyzőkönyv menüpontot választjuk, vagy az Elméleti viszgajegyzőkönyv menüpontra kattintva a megjelenő oldal alján található ""Új vizsgajegyzőkönyv"" gombra kattintunk.
";"A rendszer az Elméleti vizsgajegyzőkönyv meghirdetése oldalra navigál (Ugyintezo/ElmeletiVizsgajegyzokonyv/Create).
Az oldalon az alábbi blokkok jelennek meg:
- Fejadatok
- További adatok
- Időpontfoglalási adatok
- Kategóriák kiválasztása
- További vizsgajegyzőkönyvek generálása
 
Az oldal alján megjelenik:
- ""Mentés"" gomb.
";;;
;;;"3";"Fejadatok megadása";"A megnyitott oldalon megjelenik a Fejadatok blokk, amelyben az alábbi adatok találhatók, illetve adhatók meg: 
- Kirendeltség (nem szerkeszthető, az ügyintéző bejelentkezésekor kiválasztott kirendeltség megnevezése jelenik meg)
- Vizsga napja* (dátumválasztó, vagy manuális bevitel)
- Vizsga ideje* (-tól, -ig óraválasztó legördülő listából, vagy manuális bevitel, a vizsga záró idejének későbbinek kell lennie mint a nyitónak)
- Vizsgahelyszín* (inatkív amíg a vizsga napja és ideje nincs kitöltve, a legördülő listában a kirendeltséghez létrehozott vizsgahelyszínek megnevezése és azonosítója jelennek meg)
- Vizsgahely* (inatkív amíg a vizsga napja és ideje nincs kitöltve, a legördülő listában a vizsgahelyszínhez létrehozott vizsgahelyek jelennek meg)
- Vizsgajegyzőkönyv típus*

A Vizsgajegyzőkönyv típus legördülő lista értékei az alábbiak lehetnek:
- Ágazatfüggetlen SZEV
- Kategóriás SZEV
- Kategóriás szóbeli
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"4";"További adatok megadása";"A megnyitott oldalon megjelenik a További adatok blokk, amelyben az alábbi adatok találhatók, illetve adhatók meg (a mezők csak akkor szerkeszthetők amennyiben a Fejadatoknál Kategóriás szóbeli vizsgatípust választjuk ki): 
- Speciális vizsga*
- Létszám*
- Nyelv* (csak tolmács választása esetén szerkeszthető)
- Segédlet szükséges (csak tolmács választása esetén szerkeszthető)
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"5";"Időpontfoglalási adatok megadása";"A megnyitott oldalon megjelenik az Időpontfoglalási adatok blokk. Kategóriás szóbeli vizsgajegyzőkönyv típus választása esetén az alábbi üzenet jelenik meg a blokkban:
""Akkor adhatók meg időpontfoglalással kapcsolatos adatok, ha olyan vizsgajegyzőkönyv típus kerül kiválasztásra, mely időpontfoglalásra meg van nyitva.""
 
Ágazatfüggetlen SZEV, vagy Kategóriás SZEV vizsgajegyzőkönyv típus esetén az alábbi adatok adhatók meg:
- Jelentkezési időszak kezedete* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Jelentkezési időszak vége* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Első jelentkezhető időpont* (óraválasztóval, vagy manuális bevitellel)
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"6";"Kategóriák kiválasztása";"A megnyitott oldalon megjelenik az Kategóriák kiválasztása blokk. A Vizsgahely megadása előtt az alábbi üzenet jelenik meg a blokkban:

A Vizsgahely és a Vizsgajegyzőkönyv típus megadását követően megjelennek a vizsgahelyhez rögzített kategóriák, az alábbi adatokkal:
- Ágazat
- Kód
- Megnevezés
";;;
;;;"7";"További kategóriák hozzáadása a ""Kategória hozzáadása"" gomb megnyomásával. 
";"Megjelenik a Kategóriák hozzárendelése ablak, amelyben megjelenik egy szűrő blokk és a szűrésnek megfelelő találati lista.

Az Ágazat lenyíló lista az alábbi értékeket tartalmazza:
- Összes
-Kategóriás
-Légügyi
-PÁV
-Szaktanfolyami
-Utánképzés
-Vasúti

A Szűrés gomb megnyomásával az adott kategóriába tartozó képzések listája megjelenik.
";;;
;;;"8";"A találati listában az adott képzés melletti + ikon megnyomásával a képzés hozzáadása
";"A + gomb megnyomásával a képezhető képzés eltűnik a listából. Az ablak bezárását követően látható a Kategóriák kiválasztása blokkbana található listában.
";;;
;;;"9";"Kategória eltávolítása a kiválasztott kategória sorának jobb szélén található ""Törlés"" ikonra kattintva.";"A gombra kattintva a kiválasztott kategória eltűnik a listából és a Kategória hozzáadása ablakban újra hozzáadhatóvá válik.";;;
;;;"10";"Kategóriák visszaállítása. a ""Vizsgahely által biztosított kategórik visszaállítása"" gombra kattintva.";"A gombra kattintva figyelmeztető ablak jelenik meg az alábbi üzenettel:
""Biztosan szeretné az összes kategóriát visszaállítani?""

A ""Mégsem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése. Az ""Igen"" gombra kattintva a lista tartalma visszaáll a módosításokat megelőző kategória listára.";;;
;;;"11";"További vizsgajegyzőkönyvek generálása";"A blokkhoz tartozó mezők csak akkor láthatók ha a blokk jobb felső sarkában található rádió gomb értéke igenre van állítva.

A blokkban az alábbi üzenet és mezők jelennek meg:
""Fontos, a kötegelten generált vizsgaidőpontokat kizárólag egyesével tudja módosítani/törölni!""
- Utolsó időpont* (dátumválasztó, vagy manuális adatbevitel)
- Vizsganapok*
- Jelentkezés kezdete fix
- Jelentkezési időszak számítása sablonból";;;
;;;"12";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a Mentés gomb megnyomása.
";"A mentés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer az Elméleti vizsgajegyzőkönyv szerkesztése (Ugyintezo/ElmeletiVizsgajegyzokonyv/Edit/400175#!EditTabAlapadatok) oldalra navigál. A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. 

Az űrlapon az alábbi fülek (tab) aktív állapotúak, kiválaszthatók:
- Alapadatok
- Vizsgázók
- Vezénylési csoport
- Vizsgaösszesítő
- Módosítás

Az oldal alján megjelenik :
- a Megszüntetés gomb
- a Mentés gomb.
";;;
"125459";"Test Case";"Új gyakorlati vizsgajegyzőkönyv";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"116050";"Shared Steps";;"1";"Login (KAV ügyintéző)";;;;
;;;"1_1";"A https://tesztkatvizs.pallasz.hu/Ugyintezo/ oldal megnyitása.
";"A bejelentkezési oldal megjelenik (Központi bejelentkezés). 
Az oldalon a bejelentkezési űrlapon megadható a felhasználónév és a jelszó. 

";;;
;;;"1_2";"Felhasználónév és jelszó megadása (KAV ügyintézőt a KAV vezető ügyintéző hozhat létre), majd a Bejelentkezés gomb megnyomása. 
";"A felhasználónév és jelszó megadását követően a Bejelentkezés gomb aktív lesz, kattintható. 
";;;
;;;"1_3";"Bejelentkezési folyamatot követően megjelenő oldal ellenőrzése.
";"Helyes adatok megadása esetén a rendszer a felhasználót belépteti, amennyiben a felhasználó több kirendeltséggel rendelkezik, akkor A Válasszon kirendeltség olvasható az oldalon, és felsorolásra kerül az összes, érvényes jogviszonnyal érintett kirendeltség.  A kirendeltségek azonosítószáma és neve látható a kijelzett listán. A kirendeltségek kattintással kiválaszthatók.";;;
;;;"1_4";"Megfelelő kirendeltség kiválasztása kattintással. 
";"A rendszer az ügyintézői felületre navigál, ahol a beállított jogosultságoknak megfelelő funkciók érhetők el az oldalon. 
";;;
;;;"2";"Bejelentkezést követően a Vizsgaszervezés/Új gyakorlati vizsgajegyzőkönyv menüpontot választjuk, vagy a Gyakorlati vizsgajegyzőkönyv menüpontra kattintva a megjelenő oldal alján található ""Új vizsgajegyzőkönyv"" gombra kattintunk.
";"A rendszer a Gyakorlati vizsgajegyzőkönyv meghirdetése oldalra navigál (Ugyintezo/GyakorlatiVizsgajegyzokonyv/Creat).
Az oldalon az alábbi blokkok jelennek meg:
- Fejadatok
- Ebéd idő
- Időpontfoglalási adatok
- Kategóriák és Vizsgafajták
- További vizsgajegyzőkönyvek generálása
 
Az oldal alján megjelenik:
- ""Mentés"" gomb.
";;;
;;;"3";"Fejadatok megadása";"A megnyitott oldalon megjelenik a Fejadatok blokk, amelyben az alábbi adatok találhatók, illetve adhatók meg: 
- Kirendeltség (nem szerkeszthető, az ügyintéző bejelentkezésekor kiválasztott kirendeltség megnevezése jelenik meg)
- Vizsga napja* (dátumválasztó, vagy manuális bevitel)
- Vizsga ideje* (-tól, -ig óraválasztó legördülő listából, vagy manuális bevitel, a vizsga záró idejének későbbinek kell lennie mint a nyitónak)
- Vizsgahelyszín* (inatkív amíg a vizsga napja és ideje nincs kitöltve, a legördülő listában a kirendeltséghez létrehozott vizsgahelyszínek megnevezése és azonosítója jelennek meg)
- Vizsgajegyzőkönyv típus*

A Vizsgajegyzőkönyv típus legördülő lista értékei az alábbiak lehetnek:
- Ágazatfüggetlen gyakorlati
- Kategóriás gyakorlati
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"4";"Ebédidővel kapcsolatos adatok megadása";"A megnyitott oldalon megjelenik az Ebédidő blokk. A blokk tartalma csak akkor látható amennyiben a jobb felső sarkában található rádió gomb az ""Igen"" értéket veszi fel.
Ebben az esetben az alábbi adatok találhatók, illetve adhatók meg: 
- Ebédidő kezdete* (-tól, -ig óraválasztó legördülő listából, vagy manuális bevitel, az ebédidő kezdetének záró ideje vagy megegyezik vagy későbbi mint a nyitó)
- Ebédidő hossza* (perc)";;;
;;;"5";"Időpontfoglalási adatok megadása";"A megnyitott oldalon megjelenik az Időpontfoglalási adatok blokk.
 
- Jelentkezési időszak kezedete* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Jelentkezési időszak vége* (dátum- és óraválasztóval, vagy manuális bevitellel)
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"6";"Kategóriák és Vizsgafajták";"A megnyitott oldalon megjelenik az Kategóriák és Vizsgafajták blokk. 
A blokkban megjelennek a vizsgahelyhez rögzített lehetséges kategóriák és vizsgajták mátrixa. A kategóriák betűjele az oszlopokfejlécekben a vizsgafajták betűjelei a sorfejlécekben jelennek meg. A cellákban ahol értelmezhető checkboxok találhatóak, melyek ki-be kattintásával választhatók ki a vizsgajegyzőkönyvhöz rendelendő kategóriák és a hozzájuk tartozó vizsgafajták. A vizsgajegyzőkönyv mentéséhez legalább egy kategória - vizsgafajta páros kiválasztása szükséges.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"7";"További vizsgajegyzőkönyvek generálása";"A blokkhoz tartozó mezők csak akkor láthatók ha a blokk jobb felső sarkában található rádió gomb értéke igenre van állítva.

A blokkban az alábbi üzenet és mezők jelennek meg:
""Fontos, a kötegelten generált vizsgaidőpontokat kizárólag egyesével tudja módosítani/törölni!""
- Utolsó időpont* (dátumválasztó, vagy manuális adatbevitel)
- Vizsganapok*
- Jelentkezés kezdete fix
- Jelentkezési időszak számítása sablonból";;;
;;;"8";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a Mentés gomb megnyomása.
";"A mentés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Gyakorlati vizsgajegyzőkönyv szerkesztése (Ugyintezo/GyakorlatiVizsgajegyzokonyv/Edit/400230#!EditTabAlapadatok) oldalra navigál. A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. 

Az űrlapon az alábbi fülek (tab) aktív állapotúak, kiválaszthatók:
- Alapadatok
- Vizsgázók
- Vezénylési csoport
- Vizsgaösszesítő
- Módosítás

Az oldal alján megjelenik :
- a Megszüntetés gomb
- a Mentés gomb.
";;;
"125460";"Test Case";"Gyakorlati vizsgajegyzőkönyv megtekintése";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"116050";"Shared Steps";;"1";"Login (KAV ügyintéző)";;;;
;;;"1_1";"A https://tesztkatvizs.pallasz.hu/Ugyintezo/ oldal megnyitása.
";"A bejelentkezési oldal megjelenik (Központi bejelentkezés). 
Az oldalon a bejelentkezési űrlapon megadható a felhasználónév és a jelszó. 

";;;
;;;"1_2";"Felhasználónév és jelszó megadása (KAV ügyintézőt a KAV vezető ügyintéző hozhat létre), majd a Bejelentkezés gomb megnyomása. 
";"A felhasználónév és jelszó megadását követően a Bejelentkezés gomb aktív lesz, kattintható. 
";;;
;;;"1_3";"Bejelentkezési folyamatot követően megjelenő oldal ellenőrzése.
";"Helyes adatok megadása esetén a rendszer a felhasználót belépteti, amennyiben a felhasználó több kirendeltséggel rendelkezik, akkor A Válasszon kirendeltség olvasható az oldalon, és felsorolásra kerül az összes, érvényes jogviszonnyal érintett kirendeltség.  A kirendeltségek azonosítószáma és neve látható a kijelzett listán. A kirendeltségek kattintással kiválaszthatók.";;;
;;;"1_4";"Megfelelő kirendeltség kiválasztása kattintással. 
";"A rendszer az ügyintézői felületre navigál, ahol a beállított jogosultságoknak megfelelő funkciók érhetők el az oldalon. 
";;;
;;;"2";"Bejelentkezést követően a Vizsgaszervezés/Gyakorlati vizsgajegyzőkönyv menüpontot választjuk, az oldalon megjelenő listából kiválasztunk egy vizsgajelentőt és a sor jobb szélén található ""Szerkesztés"" ikonra kattintunk.
";"A rendszer a Gyakorlati vizsgajegyzőkönyv szerkesztése oldalra navigál (Ugyintezo/GyakorlatiVizsgajegyzokonyv/Edit/400230#!EditTabAlapadatok). A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. 
Az oldalon az alábbi fülek (tab) aktív állapotúak, kiválaszthatók:
- Alapadatok
- Vizsgázók
- Vezénylési csoport
- Vizsgabiztos (amennyiben van vezényelt vizsgabizots és jelentkezett már vizsgázó a jegyzőkönyvre)
- Vizsgaösszesítő
- Módosítás
 
Az oldal alján megjelenik:
- ""Megszüntetés"" gomb
- ""Mentés"" gomb.
";;;
;;;"3";"Alapadatok fül adatainak ellenőrzése";"Az oldalon az alábbi blokkok jelennek meg:
- Fejadatok
- A vizsgajegyzőkönyv típusának megfelelő elnevezésű blokk
- Evédidő
- Időpontfoglalási adatok
- Kategóriák és Vizsgafajták
";;;
;;;"4";"Fejadatok ellenőrzése";"A megnyitott oldalon megjelenik a Fejadatok blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
- Vizsga napja
- Vizsga ideje
- Vizsgahelyszín
- Azonosító
- Kirendeltség
- Állapot
- ""Fejadatok módosítása"" gomb

A fejadatok közül a Vizsga napja, Vizsga ideje és a Vizsgahelyszín módosítható a ""Fejadatok módosítása"" gombra kattintva, indoklás megadásával.
";;;
